wl:4685.92  use:T print:T label:He2@4686  # no wl:4686.01  in nist
wl:4698.24  use:T print:T label:Fe7@4699  
wl:4720.63  use:T print:T label:Ne4@4720  # no wl:4720.00 , 4715.66 y 4724.15(4725.49 in chianti)
wl:4740.12  use:T print:T label:Ar4@4740  
wl:4860.00  use:F print:F label:@4860 
wl:4861.33  use:T print:T label:HBaB@4861 
wl:4893.37  use:T print:T label:Fe7@4894  
wl:4942.48  use:T print:T label:Fe7@4943  
wl:4958.91  use:T print:T label:O3@4959 
wl:4988.55  use:T print:T label:Fe7@4989  
wl:5006.84  use:T print:T label:O3@5007 
wl:5158.89  use:T print:T label:Fe7@5159  
wl:5200.25  use:T print:T label:N1@5200 
wl:5276.38  use:T print:T label:Fe7@5277  
wl:5302.86  use:T print:T label:Fe14@5303 
wl:5309.11  use:T print:T label:Ca5@5309  
wl:5577.34  use:T print:T label:O1@5577 
wl:5720.70  use:T print:T label:Fe7@5721  
wl:5754.59  use:T print:T label:N2@5755 # no wl:5755.00   in nist 
wl:5875.62  use:T print:T label:He1@5876  
wl:6086.92  use:T print:T label:Ca5@6086  
wl:6087.00  use:T print:T label:Fe7@6087  
wl:6300.30  use:T print:T label:O1@6300 
wl:6363.78  use:T print:T label:O1@6363 
wl:6312.06  use:T print:T label:S3@6312 
wl:6374.51  use:T print:T label:Fe10@6375 
wl:6548.05  use:T print:T label:N2@6548 
wl:6562.82  use:T print:T label:HBaA@6563 
wl:6583.45  use:T print:T label:N2@6584 # no wl:6584.00   in nist
wl:6716.44  use:T print:T label:S2@6716 
wl:6720.00  use:F print:T label:S2@6720 # no nist
wl:6730.82  use:T print:T label:S2@6731 
wl:7005.83  use:T print:T label:Ar5@7005  
wl:7135.79  use:T print:T label:Ar3@7135  
wl:7291.00  use:T print:T label:CaF1@7291 # no nist, 5 level atom
wl:7324.00  use:T print:T label:CaF2@7324 # no nist
wl:7325.00  use:T print:T label:Ar3@7325  # no nist
wl:7332.15  use:T print:T label:Ar4@7331  # no wl:7331.00   in nist
wl:7335.00  use:T print:T label:Cl9@7334  
wl:7751.11  use:T print:T label:Ar3@7751  
wl:7891.94  use:T print:F label:Fe11@7892 
wl:8045.63  use:T print:F label:Cl4@8047  # no wl: 8047.00   in nist
wl:8446.36  use:T print:F label:O1@8446 
wl:8498.02  use:T print:F label:Ca2X@8498 
wl:8542.09  use:T print:F label:Ca2Y@8542 
wl:8662.14  use:T print:F label:Ca2Z@8662 
wl:8579.00  use:T print:F label:Ca2@8579  # no nist
wl:9068.60  use:T print:F label:S3@9069 
wl:9229.01  use:T print:F label:H1@9229 
wl:9530.60  use:T print:F label:S3@9532 
wl:9545.97  use:T print:F label:H1@9546 
wl:9850.26  use:T print:F label:C1@9850 
wl:10286.73 use:T print:F label:S2@10289  # no wl:10289.00   in nist
wl:10320.49 use:T print:F label:S2@10323  # no wl:10323.00   in nist: 10332.9,10320.49   
wl:10370.49 use:T print:F label:S2@10373  # no wl:10373.00   in nist
wl:10336.41 use:T print:F label:S2@10339  # no wl:10339.00   in nist
wl:10398.16 use:T print:F label:N1@10398  
wl:10829.90 use:T print:F label:@10830  
wl:18750.98 use:T print:F label:HPaA@18751  
wl:12818.07 use:T print:F label:HPaB@12818  
wl:10938.09 use:T print:F label:HPaG@10938  
wl:10049.37 use:T print:F label:HPaD@10049  
wl:40522.69 use:T print:F label:HBrA@40512  # no wl:40511.60   in nist
wl:26258.68 use:T print:F label:HBrB@26252  # no wl:26251.50   in nist
wl:21661.18 use:T print:F label:HBrG@21655  # no wl:21655.30   in nist
wl:19445.58 use:T print:F label:HBrD@19446  
wl:1576790.00 use:T print:F label:C2@1576000  
wl:1218000.00 use:T print:F label:N2@1217000  
wl:2053000.00 use:T print:F label:N2@2054000  
wl:573300.00  use:T print:F label:N3@572100 # no 572100.00 in nist
wl:631852.00  use:T print:F label:O1@631700 # no 631700.00 in nist
wl:1455350.00 use:T print:F label:O1@1455300  # no wl:1455300.00   in nist
wl:518145.00  use:T print:F label:O3@518000 # no 518000.00 in nist
wl:883564.00  use:T print:F label:O3@883300 # no 883300.00 in nist
wl:259130.00  use:T print:F label:O4@258800 # no wl:258800.00 in nist
wl:128135.48  use:T print:F label:Ne2@128100  # no wl:128100.00   in nist
wl:155551.00  use:T print:F label:Ne3@155500  
wl:360135.00  use:T print:F label:Ne3@360140  
wl:143217.00  use:T print:F label:Ne5@143200  
wl:76522.00 use:T print:F label:Ne6@76520 # no wl: 76520.00   in nist
wl:73177.00 use:T print:F label:Na3@73200 # no wl:73200.00   in nist
wl:90391.00 use:T print:F label:Na4@90390 
wl:212900.00  use:T print:F label:Na4@212900  
wl:143964.00  use:T print:F label:Na6@144000  # no wl:144000.00   in nist
wl:86106.00 use:T print:F label:Na6@86110 
wl:44880.00 use:T print:F label:Mg4@44850 # no wl:44850.00   in nist 
wl:56082.00 use:T print:F label:Mg5@56100 # no wl:56100.00   in nist 
wl:135370.00  use:T print:F label:Mg5@135200  # no wl:135200.00   in nist   
wl:55040.00 use:T print:F label:Mg7@55030 # no wl:55030.00   in nist   
wl:90330.00 use:T print:F label:Mg7@90330 # no wl:30300.00   in nist   
wl:30280.00 use:T print:F label:Mg8@30300 
wl:29050.00 use:T print:F label:Al5@29052 # no wl:29052.00   in nist   
wl:36603.00 use:T print:F label:Al6@36600 # no wl:36600.00    in nist  
wl:91160.00 use:T print:F label:Al6@91160 
wl:58500.00 use:T print:F label:Al8@58480 # no wl:58480.00   in nist   
wl:36900.00 use:T print:F label:Al8@36900 
wl:348140.00  use:T print:F label:Si2@348140  
wl:19641.00 use:T print:F label:Si6@19631 # no wl:19631.00   in nist   
wl:24810.00 use:T print:F label:Si7@24810 
wl:64920.00 use:T print:F label:Si7@64920 # no wl:64920.00 in nist, 65150
wl:39290.00 use:T print:F label:Si9@39290 
wl:25850.00 use:T print:F label:Si9@25840 # no wl:25840.00     in nist 
wl:14301.00 use:T print:F label:Si10@14300  
wl:187130.00  use:T print:F label:S3@186700 # no wl:186700.00 in nist
wl:334800.00  use:T print:F label:S3@334700 
wl:105105.00  use:T print:F label:S4@105100 
wl:9913.00  use:T print:F label:S8@9914 
wl:12520.00 use:T print:F label:S9@12520  
wl:19196.00 use:T print:F label:S11@19201 # no wl:19201.00    in nist  
wl:13923.60 use:T print:F label:S11@13927 # no wl:13927.00    in nist  
